road,chainage,lat,lon,type,name,LRPName,length,condition,structureNr,roadName,width,constructionYear,spans,zone,circle,division,sub-division,segmentNo
N1,1.8,23.69873866,90.4588610799999,Box Culvert,.,LRP001a,11.3,A,117861,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,2
N1,4.925,23.6946638363636,90.4877749181818,Box Culvert,.,LRP004b,6.6,A,117862,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,3
N1,8.976,23.7050598925675,90.5232141463513,PC Girder Bridge,Kanch pur Bridge.,LRP008b,394.23,A,119889,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Narayanganj-1,5
N1,10.543,23.6964000869109,90.5350989801047,Box Culvert,KATCHPUR BOX CULVERT,LRP010a,8.0,B,101106,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.7,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,5
N1,10.88,23.6943906141361,90.5375740774869,Box Culvert,NOYAPARA CULVERT,LRP010b,6.3,A,112531,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,5
N1,10.897,23.6943023869158,90.5377073719626,Box Culvert,ADUPUR CULVERT,LRP010c,6.3,A,112532,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.2,1984.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,5
N1,11.296,23.6923601518691,90.5409183897196,Box Culvert,NAYABARI KASPUR BOX CULVERT,LRP011a,8.3,A,101110,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.45,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,5
N1,11.808,23.6909119315151,90.5454624957575,Box Culvert,NAYABARI BOX CULVERT,LRP011c,10.6,B,101114,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.4,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,5
N1,12.239,23.6884123260204,90.5485585290816,Box Culvert,KHAS PARA BOX CULVERT,LRP012a,9.3,A,101117,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,12.253,23.6883197331632,90.548649807653,Box Culvert,DAWAN BAG BOX CULVERT,LRP012b,6.1,A,101119,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,20.6,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,12.66,23.685583027027,90.551207981081,PC Girder Bridge,Madanpur Bridge.(L),LRP013a,27.5,A,119897,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,12.688,23.6853619779342,90.5513591765258,PC Girder Bridge,Madanpur Bridge(R),LRP013b,27.5,A,119900,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,13.574,23.6778035,90.5558194349999,Box Culvert,KAWTALA BOX CULVERT,LRP014a,11.9,A,109794,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.4,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,15.465,23.6633090696149,90.563856994797,Box Culvert,MALIBAG BOX CULVERT,LRP016a,5.55,B,109800,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,6
N1,17.134,23.6544257051136,90.576730225,RCC Girder Bridge,Langalbandh Bridge.,LRP017b,159.52,C,119909,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,17.222,23.65397226,90.57741042,PC Girder Bridge,Darikandi Bridge (R),LRP018b,20.45,A,119926,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,17.722,23.6515705663716,90.5814943946902,PC Girder Bridge,DARIKANDI BRIDGE (R),LRP018a,20.0,B,109847,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,9.2,2002.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,18.093,23.6497543993548,90.5845490085483,PC Girder Bridge,Sonakhal Bridge(L),LRP018c,25.5,A,119933,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,18.742,23.6459685949152,90.5892119813559,PC Girder Bridge,MOLLIK PARA BRIDGE (R),LRP019a,40.5,C,109819,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,9.25,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,19.76,23.6379543715384,90.5936673976923,Box Culvert,KRIBORDI BOX CULVERT,LRP020a,6.0,A,109817,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,7
N1,20.397,23.63380522,90.597394085,Box Culvert,SHADIPUR BOX CULVERT,LRP020b,10.4,B,109827,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,20.9,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,8
N1,21.184,23.6284668507692,90.6023015723077,PC Girder Bridge,Marikhali Bridge(L),LRP021c,86.92,A,119944,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,8
N1,22.328,23.6198832229508,90.6083528852459,Box Culvert,SANGAKADI CULVERT,LRP022a,5.5,B,101112,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,2002.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,8
N1,22.596,23.6176407964705,90.6095506105882,PC Girder Bridge,ASHIR CHAR (Right),LRP023a,224.8,A,109820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,9.15,2004.0,9.0,Dhaka,Dhaka,Narayanganj,Vitikandi,8
N1,23.081,23.613587384385,90.6109029561497,PC Girder Bridge,Asharirchar-2 Bridge.(R),LRP023d,119.32,A,119964,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,8
N1,24.393,23.6027595885583,90.6155316965675,PC Girder Bridge,Meghna Bridge,LRP024a,924.85,A,119967,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,26.115,23.5929818827893,90.6279699370919,Box Culvert,TATULTALA CULVERT,LRP026a,5.6,A,101132,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.3,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,26.452,23.5908088547468,90.6302368598101,Box Culvert,BAILAKANDI CULVERT,LRP026b,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,27.12,23.58631812254,90.6345094207093,Box Culvert,MALUAKANDI CULVEDRT,LRP027a,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,28.315,23.5779800248475,90.6419193089939,PC Girder Bridge,Bhater char Bridge (L),LRP028b,172.1,A,119976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,29.138,23.5716306256965,90.6454159236842,PC Girder Bridge,Anarpara Bridge (L),LRP029a,29.85,A,119977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,29.842,23.5660033956521,90.6486237247282,Box Culvert,VITIKANDA - ANAR PUR CULVERT,LRP030a,34.7,A,101113,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,30.908,23.5591910296296,90.6557475703703,PC Girder Bridge,Alipur bridge(R),LRP031a,27.4,A,120009,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,9
N1,31.472,23.5557082901265,90.6597414245569,PC Girder Bridge,Bhaber char Bridge(R),LRP032a,29.85,A,120017,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,32.121,23.5517421907216,90.6643538752577,PC Girder Bridge,Baushia Bridge(R),LRP032d,29.87,A,120025,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,32.777,23.5477377446428,90.6690554098214,Box Culvert,PURRANBUICHE BOX CULVERT,LRP033a,9.1,A,109843,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,2002.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,32.796,23.5476246437499,90.669192065625,Box Culvert,NOYAPARA,LRP033b,5.2,A,112533,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,33.591,23.54268543125,90.6748292125,PC Girder Bridge,Madhya Baushia Bridge(L),LRP034a,72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,34.111,23.5393910168,90.6784577888,Box Culvert,BOCTAR KANDI BOX CULVERT,LRP034c,5.1,C,109835,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.0,1993.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,35.181,23.5327751898617,90.6858701078341,Box Culvert,.,LRP035a,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,35.408,23.5313996605222,90.68744892596,PC Girder Bridge,Baushia bazar Bridge( L ),LRP036a,25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,35.707,23.5301519626506,90.6897951837349,Box Culvert,CHAR BOUSHEA (2),LRP036c,8.4,A,101125,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.1,1998.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,10
N1,37.01,23.5303844733,90.7024402743,PC Box,Daudkandi Bridge.,LRP037a,1408.8,A,120033,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,11
N1,39.304,23.5324186,90.7242807234,RCC Girder Bridge,Baldhakhal Bridge,LRP040b,23.1,C,120035,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,12
