road,segmentNo,chainage,lat,lon
N1,1,0.0,23.7060278,90.443333
N1,1,0.8140000000000001,23.7029167,90.4504167
N1,1,0.8220000000000001,23.702777800000003,90.45047220000001
N1,2,0.8220000000000001,23.702777800000003,90.45047220000001
N1,2,1.0,23.702138899999998,90.4519722
N1,2,2.0,23.697888600000002,90.4605833
N1,2,2.13,23.697360800000002,90.4616667
N1,2,3.0,23.693832999999998,90.4691382
N1,2,4.0,23.693610800000002,90.4787771
N1,2,4.175,23.6938052,90.48052709999999
N1,3,4.175,23.6938052,90.48052709999999
N1,3,5.0,23.6947497,90.48849969999999
N1,3,6.0,23.6959163,90.49819409999999
N1,3,7.0,23.697333,90.50775
N1,3,7.181,23.6979163,90.50927779999999
N1,4,7.181,23.6979163,90.50927779999999
N1,4,8.0,23.7020556,90.51572220000001
N1,4,8.011000000000001,23.7021111,90.5157778
N1,4,8.429,23.704583300000003,90.5188327
N1,4,8.503,23.705027800000003,90.5193327
N1,4,8.763,23.706083300000003,90.5215271
N1,5,8.763,23.706083300000003,90.5215271
N1,5,9.503,23.702527800000002,90.5273882
N1,5,9.615,23.7015278,90.5281938
N1,5,9.963,23.6998608,90.53072159999999
N1,5,10.377,23.6974163,90.5337774
N1,5,10.503,23.696638600000004,90.53480520000001
N1,5,10.885,23.694360800000002,90.5376108
N1,5,11.312999999999999,23.6922774,90.5410552
N1,5,11.497,23.6918052,90.5426108
N1,5,11.745,23.6911108,90.5448886
N1,5,11.770999999999999,23.6910552,90.54513859999999
N1,5,11.936,23.6904163,90.546583
N1,6,11.936,23.6904163,90.546583
N1,6,12.524000000000001,23.6865274,90.5504167
N1,6,12.672,23.6854997,90.5512778
N1,6,13.524000000000001,23.678166,90.5556111
N1,6,14.524000000000001,23.670916000000002,90.55977779999999
N1,6,14.562999999999999,23.6705827,90.5599722
N1,6,15.524000000000001,23.662833300000003,90.56411109999999
N1,6,15.935,23.6604167,90.5671104
N1,7,15.935,23.6604167,90.5671104
N1,7,16.242,23.6591111,90.5697216
N1,7,16.402,23.658305600000002,90.5709993
N1,7,16.524,23.6575,90.57197159999998
