road,segmentNo,startChainage,endChainage,Km,width,nrLanes,A_bridges,B_bridges,C_bridges,D_bridges,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,AADT,vulnerability,aadt_trucks,aadt_other,trucks_congestion,other_congestion,criticality,priority,lat,lon
N1,1,0.0,0.8220000000000001,0.8220000000000001,25.0,6.686131386861314,0.0,0.0,0.0,0.0,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0,0.0,7391.0,11966.0,1105.4224890829694,1789.674672489083,19.64762978433,9.823814892165,23.7029167,90.4504167
N1,2,0.8220000000000001,4.175,3.353,17.302385923053983,5.203996421115419,1.0,0.0,0.0,0.0,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0,0.932001192961527,8369.0,13168.0,1608.1871167402144,2530.3630007450283,28.351885029585834,14.64194311127368,23.697360800000002,90.4616667
N1,3,4.175,7.181,3.0060000000000002,17.19510978043912,5.290419161676647,1.0,0.0,0.0,0.0,91.0,2706.0,2184.0,2534.0,1773.0,1643.0,314.0,1690.0,2266.0,1087.0,75.0,1198.0,0.0,16288.0,1273.0,17561.0,1.0395874916833,4981.0,12580.0,941.5132993774758,2377.8834182229766,19.43434321730084,10.23696535449207,23.6959163,90.49819409999999
N1,4,7.181,8.763,1.5819999999999999,25.0,5.817951959544881,0.0,0.0,0.0,0.0,174.0,2905.0,1360.0,2576.0,1356.0,1415.0,320.0,1579.0,3154.0,1162.0,211.0,1077.0,0.0,16001.0,1288.0,17289.0,0.0,4439.0,12850.0,762.983268144285,2208.6810082572792,16.640239959328813,8.320119979664407,23.703347200000003,90.51730524999999
N1,5,8.763,11.936,3.173,16.17154112826978,4.398361172392059,4.0,2.0,0.0,0.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,7.87897888433659,8617.0,15262.0,1959.1387933505296,3469.9287761536248,35.76438094981201,21.8216799170743,23.695499700000003,90.536208
N1,6,11.936,15.935,3.9989999999999997,14.826956739184796,4.089022255563891,5.0,1.0,0.0,0.0,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,5.470117529382345,7793.0,16796.0,1905.8345768101763,4107.583414872798,37.106951660120394,21.28853459475137,23.674541,90.55769444999999
N1,7,15.935,20.044,4.109,14.6,4.0,3.0,1.0,2.0,0.0,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,9.886833779508395,7793.0,16796.0,1948.25,4199.0,37.93278779359144,23.909810786549915,23.65322225,90.57869375
N1,8,20.044,23.564,3.52,25.0,4.267045454545456,3.0,2.0,0.0,0.0,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,6.214488636363636,6785.0,8037.0,1590.0932090545934,1883.504660452729,26.07682252148005,16.145655578921843,23.6247216,90.60525
N1,9,23.564,30.936,7.372000000000001,14.791969614758546,4.0,8.0,0.0,0.0,0.0,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,3.391209983722192,6248.0,8303.0,1562.0,2075.75,26.329473181863474,14.860341582792833,23.577916000000002,90.6419719
N1,10,30.936,36.271,5.335,14.539737582005621,4.0,8.0,0.0,1.0,0.0,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,7.029053420805998,6785.0,8037.0,1696.25,2009.25,27.817746752317504,17.423400086561752,23.545583,90.67155485
N1,11,36.271,38.466,2.195,14.986924829157175,4.608656036446469,1.0,0.0,0.0,0.0,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,1.4236902050113893,6785.0,8037.0,1472.22963621985,1743.8923487544484,24.143912266246314,12.783801235628852,23.530763200000003,90.70865279999998
N1,12,38.466,45.388000000000005,6.922000000000001,16.8055186362323,5.047963016469229,0.0,1.0,3.0,0.0,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,6.320427622074544,6217.0,5464.0,1231.5858851811572,1082.4168049911282,19.006757096112654,12.663592359093599,23.530666,90.75141670000001
N1,13,45.388000000000005,47.224,1.8359999999999999,25.0,6.0,0.0,0.0,1.0,0.0,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,6.8082788671023975,6217.0,5464.0,1036.1666666666667,910.6666666666666,15.990901147365125,11.399590007233762,23.530929899999997,90.79013855000001
N1,14,47.224,55.477,8.253,25.0,6.0,2.0,0.0,1.0,0.0,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,2.271901126862959,5982.0,5601.0,997.0,933.5,15.567562969159463,8.91973204801121,23.5299577,90.83262450000001
N1,15,55.477,62.278,6.801,25.0,6.0,0.0,2.0,1.0,0.0,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,3.675930010292604,6217.0,5464.0,1036.1666666666667,910.6666666666666,15.990901147365125,9.833415578828864,23.505722199999997,90.90638890000001
N1,16,62.278,69.638,7.36,25.0,6.0,2.0,2.0,0.0,0.0,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,2.5475543478260874,6217.0,5464.0,1036.1666666666667,910.6666666666666,15.990901147365125,9.269227747595606,23.4976663,90.9667497
N1,17,69.638,75.589,5.9510000000000005,25.0,6.0,0.0,2.0,1.0,0.0,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,4.200974626113258,6241.0,7761.0,1040.1666666666667,1293.5,17.25248055016233,10.726727588137793,23.484638600000004,91.0229438
N1,18,75.589,81.846,6.257000000000001,25.0,6.0,1.0,1.0,1.0,0.0,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,3.496084385488253,6241.0,7761.0,1040.1666666666667,1293.5,17.25248055016233,10.37428246782529,23.478568799999998,91.09383299999999
N1,19,81.846,85.897,4.051,25.0,6.0,2.0,0.0,0.0,0.0,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,1.5428289311281165,6241.0,7761.0,1040.1666666666667,1293.5,17.25248055016233,9.397654740645223,23.4767216,91.1364441
N1,20,85.897,87.366,1.469,25.0,6.0,0.0,0.0,0.0,0.0,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,0.0,6241.0,7761.0,1040.1666666666667,1293.5,17.25248055016233,8.626240275081164,23.448833,91.14713859999999
N1,21,87.366,89.41,2.044,25.0,6.0,1.0,0.0,0.0,0.0,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,1.5288649706457926,6845.0,5197.0,1140.8333333333333,866.1666666666666,17.17445558082928,9.351660275737537,23.439957999999997,91.1509859
N1,22,89.41,91.583,2.173,25.0,6.0,0.0,0.0,1.0,0.0,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,5.752416014726185,6845.0,5197.0,1140.8333333333333,866.1666666666666,17.17445558082928,11.463435797777734,23.42349935,91.16312500000001
N1,23,91.583,105.87899999999999,14.296,25.0,6.0,3.0,0.0,2.0,0.0,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,2.4045187465025184,6845.0,5197.0,1140.8333333333333,866.1666666666666,17.17445558082928,9.7894871636659,23.384680250000002,91.2348608
N1,24,105.87899999999999,119.698,13.819,25.0,6.0,7.0,12.0,0.0,0.0,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,7.010275707359433,6845.0,5197.0,1140.8333333333333,866.1666666666666,17.17445558082928,12.092365644094357,23.2727632,91.3030833
N1,25,119.698,138.869,19.171,25.0,6.0,7.0,14.0,1.0,0.0,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,6.357258358979709,4700.0,3919.0,783.3333333333334,653.1666666666666,11.977359988361739,9.167309173670724,23.1334995,91.32759655000001
N1,26,138.869,140.251,1.382,25.0,6.0,0.0,1.0,0.0,0.0,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,4.522431259044863,4700.0,3919.0,783.3333333333334,653.1666666666666,11.977359988361739,8.249895623703301,23.0538611,91.36372220000001
N1,27,140.251,143.034,2.783,25.0,6.0,2.0,0.0,0.0,0.0,626.0,4617.0,1156.0,1923.0,588.0,791.0,216.0,716.0,1212.0,331.0,92.0,228.0,0.0,12176.0,320.0,12496.0,2.245777937477542,6399.0,6097.0,1066.5,1016.1666666666666,16.708414547785935,9.477096242631738,23.0379163,91.3655139
N1,28,143.034,145.409,2.375,25.0,6.0,1.0,0.0,0.0,0.0,728.0,4991.0,1253.0,2234.0,667.0,1164.0,249.0,813.0,1676.0,426.0,148.0,235.0,0.0,14201.0,383.0,14584.0,1.3157894736842104,6972.0,7612.0,1162.0,1268.6666666666667,18.715448725156996,10.015619099420602,23.0163052,91.37340215
N1,29,145.409,149.289,3.88,25.0,6.0,4.0,0.0,0.0,0.0,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0,3.2216494845360826,7443.0,6563.0,1240.5,1093.8333333333333,19.155657167002236,11.18865332576916,22.9961941,91.4005
N1,30,149.289,157.685,8.396,25.0,6.0,0.0,0.0,1.0,0.0,393.0,4967.0,1201.0,1656.0,293.0,775.0,282.0,973.0,840.0,207.0,224.0,188.0,0.0,11587.0,412.0,11999.0,1.488804192472606,6561.0,5438.0,1093.5,906.3333333333334,16.70261539465983,9.095709793566218,22.9624167,91.44169409999999
N1,31,157.685,161.582,3.897,25.0,6.0,1.0,1.0,0.0,0.0,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0,2.4056966897613554,7443.0,6563.0,1240.5,1093.8333333333333,19.155657167002236,10.780676928381796,22.949041349999998,91.4994026
N1,32,161.582,167.683,6.101,25.0,6.0,3.0,0.0,0.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,1.5366333387969189,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,8.107672146223054,22.91473615,91.5264021
N1,33,167.683,181.46400000000003,13.780999999999999,25.0,6.0,15.0,2.0,1.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,5.215514113634715,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,9.947112533641953,22.8432497,91.5482219
N1,34,181.46400000000003,194.60299999999998,13.139000000000001,25.0,6.0,12.0,1.0,1.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,4.281147728137606,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,9.479929340893397,22.71755525,91.6059306
N1,35,194.60299999999998,206.40200000000002,11.799000000000001,25.0,6.0,16.0,3.0,1.0,0.0,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0,6.886176794643612,7205.0,7698.0,1200.8333333333333,1283.0,19.252133987191076,13.069155390917345,22.620693799999998,91.6563611
N1,36,206.40200000000002,228.40599999999998,22.004,25.0,6.0,18.0,6.0,1.0,0.0,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0,4.828667514997273,7205.0,7698.0,1200.8333333333333,1283.0,19.252133987191076,12.040400751094175,22.5027778,91.71293059999999
N1,37,228.40599999999998,232.75400000000002,4.348,25.0,6.717571297148108,5.0,0.0,0.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,3.5936062557497697,1934.0,7616.0,287.90167077513036,1133.7430840865527,7.2289599527052095,5.41128310422749,22.387458000000002,91.76127775
