road,Km,A_bridges,B_bridges,C_bridges,D_bridges,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,AADT,width,nrLanes,vulnerability,criticality,priority,segmentNo,lat,lon
N1,462.25399999999996,422.0,112.0,88.0,6.0,232.8937964841841,2835.9712928390027,799.5444885279527,1058.3167890380614,476.17217157666585,969.3204774864039,240.07025791015332,740.947029122517,2237.093775283719,490.5065440212524,170.81951481220287,599.321422854102,0.1214332380033488,10080.836622289911,770.2623709043081,10851.09899319422,15.333436595464837,3.9598445876076798,7.071328749994592,18.656106394742984,12.863717572368794,1,22.227916,92.0235827
N102,83.38199999999999,53.0,24.0,12.0,1.0,250.42777817754433,1065.5935573625004,642.6065577702623,468.0626394185796,126.9806193183181,477.9793480607326,219.98592022259007,279.01407977741,4165.794308124056,616.5497949197669,166.71114868916553,608.4241922717134,0.0,8312.99460315176,775.1353409608789,9088.12994411264,5.876201337487471,1.9328392218944142,5.884063706795232,24.564765626170296,15.224414666482765,1,23.725082699999998,91.09538859999999
N104,49.63,17.0,12.0,10.0,1.0,65.69957686882934,845.6160789844852,463.0371347975015,427.3497078380012,349.3887970985291,456.6442071327826,75.95232722143865,191.4272617368527,4065.67251662301,794.9582309087245,308.6431593794076,1052.350050372758,3.421156558533145,7735.745839210156,1364.4143663106993,9100.160205520853,7.798299415676001,2.267177110618577,5.603969373362885,19.04224347950405,12.323106426433467,1,22.945069150000002,91.16738855
N105,48.88100000000001,44.0,0.0,1.0,0.0,296.12630674495193,3844.760254495611,1175.7472842208626,46.84748675354431,38.404860784353836,970.7382009369693,131.26836603179146,906.8784394754605,2130.3967594770975,584.0886233915016,114.1404226591109,653.6997606431946,0.0,10125.256582312144,767.8401833023055,10893.09676561445,8.894937092121676,2.137415355659663,3.0686769910599208,39.74893805231787,21.408807521688896,1,23.8715271,90.50661109999999
N106,66.85000000000001,60.0,14.0,26.0,3.0,2.1885415108451753,784.6916080777861,301.03464472700074,260.521421091997,248.5309798055347,284.4392370979805,265.0704712041885,297.5832460732984,3107.547255048616,716.0924607329843,155.4295287958115,256.2685714285714,0.0,6267.699865370231,411.69810022438287,6679.397965594614,7.779159311892297,2.2469708302169034,10.097232610321614,12.577926104103462,11.337579357212539,1,22.53926355,91.96919375
N107,10.542000000000002,3.0,3.0,1.0,4.0,0.0,337.99999999999994,475.0,131.99999999999997,0.0,264.99999999999994,26.999999999999996,258.0,2684.9999999999995,814.9999999999999,305.99999999999994,364.99999999999994,0.0,4995.0,671.0,5665.999999999998,5.697956744450767,2.0,13.339499146272052,12.818764387385697,13.079131766828876,1,22.3598056,91.9135833
N108,22.541,37.0,5.0,2.0,0.0,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0000000000001,0.0,4289.0,1244.0,5533.0,5.846644780621977,2.0388181535867975,7.624994454549488,10.02717987416917,8.826087164359329,1,22.1437219,92.17655490000001
N110,8.2,16.0,1.0,2.0,0.0,0.0,254.00000000000006,410.00000000000006,452.0,198.99999999999997,517.0,419.0,233.0,2812.0,820.9999999999999,46.0,112.0,0.0,6117.0,158.0,6275.000000000001,7.1884146341463415,2.0,9.908536585365855,13.074981516411793,11.491759050888822,1,21.425541,91.98681909999999
N2,286.516,398.0,42.0,24.0,0.0,302.7141171871728,1650.7536123637076,706.0936631811138,1050.2174538245683,301.59940806098075,1103.927766686677,219.6410113222298,772.8776473216155,2320.102475952477,556.3018225858241,179.788256153234,474.99485892585386,4.98951192952575,8984.228978486368,659.7726270086138,9644.001605494981,7.9644306077147515,2.11524661798992,6.304185455611553,26.254421696195816,16.279303575903686,1,24.3379163,91.5337774
N204,34.42100000000001,20.0,5.0,6.0,1.0,0.0,175.99999999999997,189.99999999999997,31.0,37.99999999999999,204.0,42.99999999999999,91.99999999999999,1118.9999999999998,377.99999999999994,126.99999999999999,229.99999999999997,0.0,2271.0,357.0,2627.9999999999995,5.402507190377966,1.543302053978675,5.628831236745009,7.648743361300189,6.6387872990225985,1,24.145874649999996,91.47934655
N205,2.478,3.0,1.0,0.0,0.0,0.0,176.0,189.99999999999997,30.999999999999996,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,8.1818401937046,2.253430185633575,6.30548829701372,5.395173115884656,5.850330706449189,1,24.882916,91.8640556
N206,1.797,1.0,1.0,0.0,0.0,1.0,83.0,144.0,0.0,28.0,208.0,26.0,174.0,3356.0,1113.0,391.0,2168.0,0.0,5133.0,2559.0,7692.0,10.7449081803005,3.2776850306065666,5.217028380634392,8.083372501797209,6.6502004412158,1,24.89141635,91.87084655000001
N207,67.985,42.0,14.0,9.0,2.0,31.000000000000004,423.0,312.0,198.0,142.0,323.0,162.0,386.0,2594.0000000000005,467.00000000000006,141.0,150.0,0.0,5038.000000000001,291.00000000000006,5329.000000000001,7.2043480179451365,2.106457306758844,5.607854673825108,11.576353447447158,8.592104060636132,1,24.3652778,91.7268604
N208,57.495,72.0,16.0,2.0,0.0,6.328932950691365,609.5561874945647,406.223706409253,18.132394121227932,375.4303678580746,570.7751456648404,94.5506217931994,792.2276024002086,2511.5180276545784,755.5402730672233,145.65840507870251,223.79554743890773,3.3949212975041316,6140.283259413862,372.84887381511436,6513.132133228976,6.340640055657012,2.0182624576050094,6.087485868336377,15.01644189392515,10.551963881130762,1,24.6325827,91.9015
N209,1.33,2.0,0.0,0.0,0.0,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,10.028195488721806,2.6917293233082704,4.6992481203007515,27.881509457042554,16.290378788671653,1,24.8817771,91.872916
N3,111.58500000000001,27.0,40.0,31.0,2.0,54.40032262400861,1529.561294080745,1144.841152484653,1432.8138369852575,1034.76904601873,1871.9513554689252,502.6105480127257,3597.2088363131247,1740.6538423623242,888.302101536945,174.55100595958237,439.50113366491905,2.160433750056011,13797.112335887437,616.2125733745575,14413.324909261997,15.73637092799211,4.391701393556482,6.917372406685486,14.614179702451981,10.765776054568732,1,24.350333300000003,90.3964163
N302,17.555,0.0,1.0,3.0,0.0,302.88367986328683,4844.439191113644,3280.5358017658787,1956.3493591569352,1914.6949587012248,2694.1939618342353,934.0529193961834,5139.011050982626,2289.379948732555,1747.6006835659355,212.03064653944745,1848.575961264597,0.17880945599544287,25103.141555112503,2060.7854172600396,27163.92697237254,8.706750213614356,2.505553973227001,2.4921674736542294,68.05036197574059,35.2712647246974,1,23.897194100000004,90.33322159999999
N309,13.303,12.0,0.0,0.0,0.0,7.0,1331.9999999999998,446.9999999999999,1254.0,0.0,311.0,192.00000000000003,246.99999999999997,984.9999999999999,618.0,297.0,688.0,5.0,5392.999999999999,990.0,6382.999999999999,7.332684356911973,2.0075171014056976,2.8189130271367357,18.50015716830163,10.659535097719182,1,24.7396108,90.38763859999999
N4,146.355,96.0,15.0,8.0,0.0,64.64272488128184,4382.0691127737355,1323.1441290014006,2554.811779577056,614.5797410406205,1061.8481363807184,424.6824570393906,1223.124956441529,2154.956052065184,1519.8603395852551,470.9576577499915,1345.143541389088,2.7822076457927643,15323.719428786171,1818.8834067848727,17142.602835571048,6.596731235694032,1.942800040996208,3.373646271053261,54.3432522906112,28.85844928083223,1,24.32798545,89.9796521
N401,46.98,8.0,5.0,9.0,4.0,16.0,653.9999999999999,247.0,481.00000000000006,44.0,188.0,59.00000000000001,228.00000000000003,1401.0,467.0,216.00000000000003,774.0,20.000000000000004,3785.0000000000005,1010.0000000000001,4795.0,5.972733077905492,2.0461898680289483,5.7205193699446575,11.679031944882817,8.699775657413738,1,24.7419441,90.2026944
N403,3.7319999999999998,1.0,0.0,1.0,1.0,0.0,90.0,133.0,62.0,134.0,154.0,32.0,152.0,1927.0,1065.0,339.0,810.9999999999999,0.0,3748.9999999999995,1149.9999999999998,4899.0,6.761345123258305,2.1489817792068595,10.885584137191856,8.195767600328361,9.540675868760108,1,24.099416350000002,90.097958
N405,40.78000000000001,23.0,2.0,0.0,0.0,36.99999999999999,4780.999999999999,1014.9999999999999,4459.0,568.9999999999999,1282.9999999999995,326.99999999999994,1083.0,1655.9999999999995,957.9999999999999,137.0,150.99999999999997,0.0,16167.999999999998,287.99999999999994,16455.999999999996,8.71149828347229,2.3927415399705736,2.0690289357528195,46.168160478466355,24.118594707109587,1,24.420041,89.59137465
N5,526.0330000000001,323.0,59.0,45.0,3.0,115.97763068096485,1356.611214505553,644.1870319922892,750.5450646632435,444.2723536356081,328.15860031594985,107.9559153132978,345.64668946625017,994.5002918067875,1017.4188311379702,592.0584773198639,549.8455724260642,3.0267644805554013,6105.273623517915,1144.930814226484,7250.204437744399,7.840598593624354,2.211245302100819,3.8317462972855307,19.126631342161005,11.479188819723266,1,25.0732216,89.3631111
N501,11.942,2.0,0.0,0.0,0.0,72.0,387.0,1943.0000000000002,170.00000000000003,1627.0000000000002,1787.0000000000002,399.0,2007.0000000000005,1443.0,988.0,165.00000000000003,355.0,3.0000000000000004,10823.0,523.0000000000001,11346.0,7.330849104002681,2.0018422374811586,0.5233629207837883,29.314634584902894,14.91899875284334,1,23.845388600000003,90.3426108
N502,63.290000000000006,33.0,9.0,3.0,0.0,32.19172065097172,681.3159108863958,494.7614473060515,555.582682888292,404.1361036498656,330.2548585874546,140.70478748617475,356.44657923842624,1711.2475588560592,861.2452520145363,463.30399747195435,459.1852425343656,0.0,5567.8869015642285,922.48924000632,6490.376141570547,6.9876836783062055,2.0915626481276655,3.11068099225786,15.300651722345517,9.20566635730169,1,24.5272493,89.1695271
N503,3.2689999999999997,1.0,4.0,0.0,0.0,0.0,361.0,166.00000000000003,117.0,117.0,421.0,25.0,45.0,814.0,430.0,327.0,435.0,0.0,2496.0,762.0,3257.9999999999995,8.924772101560112,2.5842765371673297,8.603548485775466,5.922973357666501,7.263260921720984,1,23.84012465,89.7987915
N504,6.653,4.0,0.0,0.0,0.0,91.99999999999999,376.0,365.0,146.0,252.0,161.99999999999997,6.0,47.0,2052.0,1215.0,524.0,1241.0,11.0,4713.0,1776.0,6489.0,8.624605441154365,2.643920036073952,1.8788516458740419,10.753204110067053,6.316027877970547,1,23.952944450000004,89.63265239159091
N505,4.4,1.0,0.0,0.0,0.0,92.0,376.0,365.0,146.0,252.00000000000003,162.0,6.0,47.0,2052.0,1215.0,524.0,1241.0,11.0,4713.0,1776.0,6489.0,7.204909090909091,2.0,0.7102272727272727,14.215305899299526,7.4627665860134,1,23.8803882,89.66469445000001
N506,50.017,18.0,14.0,2.0,2.0,29.952156266869263,464.51858368154825,577.3466821280764,281.916548373553,254.79666913249494,275.6490993062359,231.66885259011937,195.69448387548232,969.790171341744,1623.0794529859847,1248.6092128676248,621.8297378891177,1.026431013455425,4904.412699682108,1871.465381770198,6775.878081452307,6.232942799448187,2.000019993202311,4.373513005578103,15.843359700575222,10.108436353076662,1,25.8075833,89.4468886
N507,50.25,92.0,0.0,0.0,0.0,53.0,1518.9999999999998,659.0,683.0,102.0,220.0,212.0,121.0,828.0,452.99999999999994,226.00000000000003,178.0,0.0,4850.0,404.0,5254.0,11.507700639300344,3.0013423425119043,5.721393034825871,12.591184417762681,9.156288726294276,1,24.357805600000002,89.3299993
N508,15.975,3.0,0.0,0.0,1.0,52.0,580.0,121.0,56.0,294.0,101.0,37.00000000000001,120.0,426.0,359.00000000000006,667.0000000000001,371.00000000000006,3.0000000000000004,2146.0,1041.0,3187.0,7.782566510172144,2.215336463223787,2.151799687010955,7.813812699867991,4.9828061934394725,1,25.65608335,88.64751355000001
N509,104.69,28.0,11.0,3.0,9.0,20.359738274906867,202.42795873531375,263.5843442544656,55.31000095520107,106.48073359442164,94.71779539593084,103.29210048715254,71.03240997229918,1483.922409017098,1860.8313496991116,1987.2876588021777,1153.003801700258,5.278450663864744,4261.958840385901,3145.5699111663007,7407.528751552202,5.469600725952814,1.6323144521921864,3.9999044798930177,17.744872148814544,10.872388314353781,1,25.9844023,89.18143005
N514,8.67,3.0,1.0,0.0,0.0,16.0,78.0,330.00000000000006,95.00000000000001,83.00000000000001,344.00000000000006,309.0,437.0,6336.0,2396.0,2465.0,4550.0,0.0,10424.000000000002,7015.0,17439.0,14.502422145328719,4.0,1.8021914648212227,14.796539201256866,8.299365333039045,1,24.85094445,89.3728327
N516,8.0,18.0,0.0,0.0,0.0,15.9375,1201.2,494.45,75.5375,76.3375,284.4125,44.075,94.0,722.7875000000001,970.2875,643.7,718.925,0.0,3979.025,1362.6250000000002,5341.650000000001,10.759375,2.89,7.031250000000001,11.615469003044609,9.323359501522305,1,24.8300827,88.945833
N517,8.21,4.0,1.0,1.0,0.0,8.400730816077953,784.5919610231424,547.3708891595614,756.4957369062118,423.8093788063337,486.29719853836787,188.32338611449447,379.3727161997564,1768.604141291108,1228.6869671132765,1056.1973203410475,861.3465286236298,0.0,6571.95310596833,1917.543848964677,8489.496954933009,10.757125456760049,3.019488428745432,3.8063337393422656,14.929950638159234,9.368142188750749,1,25.741180200000002,89.2543611
N518,4.16,5.0,0.0,0.0,0.0,4.0,313.0,451.0,6.0,12.0,315.0,153.0,274.0,1576.0,1676.0,2500.0,3344.0,0.0,4780.0,5844.0,10624.0,7.471153846153846,2.1081730769230766,3.756009615384615,19.39760995431284,11.576809784848727,1,25.778582699999998,88.8966108
N6,232.24400000000003,100.0,0.0,0.0,0.0,96.22336422038889,1053.5606861748847,544.5814660443326,453.3260665506965,287.09622638259754,338.6800347909957,102.98188543083997,171.36410843767763,1320.8936937014519,1054.4558266306124,708.2100463305832,579.3751743855601,0.8399958664163552,5423.163358364478,1288.4252165825594,6711.588574947037,7.419065723979952,2.177020719588019,1.3455675927042248,16.930622449803096,9.138095021253658,1,24.3683882,88.9231104
N602,5.64,1.0,0.0,2.0,0.0,0.0,346.00000000000006,381.00000000000006,63.0,97.00000000000001,90.00000000000001,77.0,171.00000000000003,11329.0,3743.0000000000005,1992.0000000000002,1373.0000000000002,0.0,16297.000000000002,3365.0,19662.0,9.605531914893618,2.6819148936170216,4.9867021276595755,26.37348392456102,15.680093026110296,1,24.4118611,89.97876325
N603,21.03,65.0,1.0,0.0,0.0,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0000000000001,670.0000000000001,0.0,7138.0,1505.0,8643.0,7.37436994769377,2.020922491678554,9.956015216357583,28.760927535557663,19.358471375957624,1,24.3975552,88.6396941
N604,7.83,5.0,2.0,2.0,0.0,21.0,394.99999999999994,340.99999999999994,198.0,96.00000000000001,145.0,84.0,138.99999999999997,4187.0,2698.0,2110.0,2172.0000000000005,2.0,8304.0,4284.0,12587.999999999998,13.4441251596424,3.922094508301405,6.784802043422734,11.984986604905734,9.384894324164234,1,24.0063889,89.2379997
N7,249.66500000000002,192.0,16.0,26.0,4.0,83.40290789658143,1483.987879758877,675.9264534476196,796.5253159233375,473.1277431758555,458.33611038791975,191.8923877996515,344.17672481124697,1537.7548595117457,1355.742603088138,905.6429495523998,871.623155027737,0.0,7400.872985800973,1777.266104580137,9178.139090381112,7.803823523521521,2.238795986622074,4.5060380910419955,22.863019285243684,13.68452868814284,1,23.48436075,89.4766382
N702,43.75,38.0,2.0,1.0,0.0,73.0,381.0,288.00000000000006,558.0,153.00000000000003,139.0,33.0,159.0,1096.0000000000002,1358.0000000000002,1629.0,864.0,0.0,4238.0,2493.0,6731.0,7.47196342857143,2.0800000000000005,3.2857142857142856,13.628181131769653,8.45694770874197,1,23.340277399999998,89.3303327
N703,3.4899999999999998,4.0,1.0,1.0,0.0,10.0,327.0,245.0,180.00000000000003,205.00000000000003,174.0,35.00000000000001,165.00000000000003,1625.0,1193.0,1064.0,837.0000000000001,0.0,4159.0,1901.0,6060.000000000001,7.040372492836677,2.1891117478510034,8.954154727793696,11.306100819578909,10.130127773686306,1,23.5432219,89.17612435000001
N704,81.538,55.0,1.0,12.0,1.0,118.3541661556575,2167.380754985406,1646.5696485074443,463.1714292722412,651.1333366037921,325.3251980671588,68.6146827246192,190.2873016262356,1590.7263852436902,1419.9978169687752,1047.09345335917,832.5007971743237,0.0,8641.56072015502,1879.594250533494,10521.154970688513,7.746385734258874,2.1140879099315653,4.330802815864995,33.70313210833318,19.01696746209909,1,23.870666,89.1098472
