road,segmentNo,startChainage,endChainage,width,nrLanes,Km
N1,1,0.0,0.13,29.7,8.0,0.13
N1,1,0.13,0.4,14.0,4.0,0.27
N1,1,0.4,0.8220000000000001,28.3,8.0,0.42200000000000004
N1,2,0.8220000000000001,1.05,28.3,8.0,0.22799999999999998
N1,2,1.05,4.175,16.5,5.0,3.125
N1,3,4.175,5.1,16.5,5.0,0.9249999999999998
N1,3,5.1,6.2,16.2,5.0,1.1000000000000005
N1,3,6.2,6.89,16.0,5.0,0.6899999999999995
N1,3,6.89,7.181,26.0,8.0,0.29100000000000037
N1,4,7.181,7.33,26.0,8.0,0.14900000000000002
N1,4,7.33,7.9,28.0,8.0,0.5700000000000003
N1,4,7.9,8.763,14.9,4.0,0.8629999999999995
N1,5,8.763,8.9,14.9,4.0,0.13700000000000045
N1,5,8.9,9.8,15.0,4.0,0.9000000000000004
N1,5,9.8,10.45,14.6,4.0,0.6499999999999986
N1,5,10.45,11.62,14.9,4.0,1.17
N1,5,11.62,11.936,28.0,8.0,0.3160000000000007
N1,6,11.936,12.1,28.0,8.0,0.1639999999999997
N1,6,12.1,12.4,10.3,3.0,0.3000000000000007
N1,6,12.4,15.935,14.6,4.0,3.535
N1,7,15.935,17.22,14.6,4.0,1.2849999999999984
N1,7,17.22,19.9,14.6,4.0,2.6799999999999997
N1,7,19.9,20.044,14.6,4.0,0.1440000000000019
N1,8,20.044,20.2,14.6,4.0,0.1559999999999988
N1,8,20.2,22.33,14.8,4.0,2.129999999999999
N1,8,22.33,22.8,46.9,6.0,0.4700000000000024
N1,8,22.8,23.564,14.4,4.0,0.7639999999999993
N1,9,23.564,25.33,14.4,4.0,1.7659999999999982
N1,9,25.33,27.2,14.8,4.0,1.870000000000001
N1,9,27.2,27.7,14.8,4.0,0.5
N1,9,27.7,30.936,15.0,4.0,3.2360000000000007
N1,10,30.936,31.36,15.0,4.0,0.4239999999999995
N1,10,31.36,36.271,14.5,4.0,4.911000000000001
