road,segmentNo,width,nrLanes,Km
N1,1,23.82433090024331,6.686131386861314,0.8220000000000001
N1,2,17.302385923053983,5.203996421115419,3.3529999999999998
N1,3,17.19510978043912,5.290419161676647,3.0060000000000002
N1,4,20.665423514538563,5.817951959544881,1.5819999999999999
N1,5,16.17154112826978,4.398361172392059,3.173
N1,6,14.826956739184796,4.089022255563891,3.9990000000000006
N1,7,14.6,4.0,4.109
N1,8,18.990397727272754,4.267045454545456,3.5199999999999996
N1,9,14.791969614758546,4.0,7.372
N1,10,14.539737582005621,4.0,5.335000000000001
N1,11,14.986924829157175,4.608656036446469,2.1950000000000003
N1,12,16.8055186362323,5.047963016469229,6.922000000000004
N1,13,18.899999999999995,6.0,1.8359999999999914
N1,14,18.882454864897614,6.0,8.253
N1,15,18.8,6.0,6.801000000000002
N1,16,18.8,6.0,7.3600000000000065
N1,17,18.8,6.0,5.950999999999993
N1,18,18.8,6.0,6.257000000000005
N1,19,18.8,6.0,4.051000000000002
N1,20,18.8,6.0,1.468999999999994
N1,21,18.8,6.0,2.043999999999997
N1,22,18.8,6.0,2.173000000000002
N1,23,18.8,6.0,14.295999999999992
N1,24,18.799999999999997,6.0,13.819000000000003
N1,25,18.8,6.0,19.171000000000006
N1,26,18.8,6.0,1.382000000000005
N1,27,18.8,6.0,2.782999999999987
N1,28,18.8,6.0,2.375
N1,29,18.8,6.0,3.8799999999999955
N1,30,18.8,6.0,8.396000000000015
N1,31,18.8,6.0,3.8969999999999914
N1,32,18.8,6.0,6.100999999999999
N1,33,18.8,6.0,13.781000000000034
N1,34,18.8,6.0,13.138999999999953
N1,35,18.8,6.0,11.799000000000035
N1,36,18.8,6.0,22.003999999999962
N1,37,21.176816927322886,6.717571297148108,4.348000000000042
N1,38,14.83946760023778,4.5388731091881835,15.138999999999982
N1,39,7.0,2.0,2.5519999999999925
N1,40,7.0,2.0,2.5109999999999957
N1,41,7.0,2.0,2.7690000000000055
N1,42,7.0,2.0,1.0840000000000316
N1,43,7.323489545782265,2.0,6.935000000000002
N1,44,7.299999999999999,2.0,0.325999999999965
N1,45,8.173134328358195,2.0,1.3400000000000318
N1,46,7.622064354366899,2.0,9.572000000000003
N1,47,7.2,2.0,3.030999999999949
N1,48,7.554082248469696,2.0,11.599000000000046
N1,49,7.2,2.0,0.36199999999996635
N1,50,7.197160841033884,2.0,7.4669999999999845
N1,51,7.1,2.0,10.14100000000002
N1,52,7.1,2.0,8.146000000000015
N1,53,7.1,2.0,0.6279999999999859
N1,54,7.1,2.0,7.48599999999999
N1,55,7.1,2.0,3.3460000000000036
N1,56,7.015192620727072,2.0,3.6860000000000355
N1,57,6.800000000000001,2.0,1.1919999999999504
N1,58,6.8,2.0,0.8109999999999786
N1,59,6.8,2.0,4.43300000000005
N1,60,6.8,2.0,6.249000000000024
N1,61,6.8,2.0,6.4950000000000045
N1,62,6.8,2.0,20.92799999999994
N1,63,6.8,2.0,2.493000000000052
N1,64,6.685960529602803,2.0,8.005999999999972
N1,65,5.8,2.0,16.72399999999999
N1,66,5.8732036367191345,2.0,10.229000000000042
N1,67,5.9,2.0,7.610000000000014
N1,68,5.855931281094528,2.0,12.863999999999976
N1,69,5.758837641696156,2.0,33.346000000000004
N102,1,6.0492847344699205,2.0,10.206
N102,2,5.682529659395331,2.0,10.452000000000002
N102,3,5.945835929387331,2.0,4.815000000000001
N102,4,6.047681624729336,1.9888001194653924,13.392999999999997
N102,5,5.6,2.0,5.561
N102,6,5.626902697495183,1.9244139370584457,12.456000000000003
N102,7,5.3,1.5,6.178000000000004
N102,8,5.727206670637285,1.8309112567004169,8.394999999999996
N102,9,6.887841788478073,2.0,5.814999999999998
N102,10,6.071742746257623,2.0,5.411000000000001
N104,1,15.059424920127798,3.9169329073482424,1.8780000000000001
N104,2,7.24126213592233,2.0,2.4719999999999995
N104,3,7.221437578814628,2.0,3.965
N104,4,7.1909454881429005,2.0,6.4940000000000015
N104,5,5.811288237828521,2.0,2.320999999999998
N104,6,6.113820409382938,2.0,6.693000000000001
